userId,level
b70d35c83a63c0f25ae157d833c538f7,2
f40576117772c196cdde8366edd435ba,1
e02c90f980217fe1f4a076987a608966,1
9c90940d7ce2478bb84aa1473ab3bdc2,1
30871c11b2749e6d4c1030f8f46a7001,1
926fcef06e7734e8dde5a3904d17788c,1
b2da6175c5e4794ae04ccae09ce26d73,1
0d13a8cc19bc36b35c410868072cf345,1
27312c85b9d8b9cc022b0dd82bfe5e77,5
28b1b3b21ed573ecf306c1e3e90cabea,6
d8eb322c7e673a3ff6ac44ec3f241fd0,1
ac4b5414df4e26558d34b32f8cccb919,1
df2dd225fe338ef07b33f4bff49e1221,1
35339a01829540e85dcb4fc449aef034,1
79eddc3b6f39850bad1e9f8cde8188e8,1
eaa3286fd9d4558f80ed472e0881607d,11
edf6bba8f544b46d846b843b11ccb314,1
99b32991205a733c3b1863426223313c,1
3b5cb1345ddb8cf6bff05880a4d14d66,9
62e4ed7bf6b4d224e927fbd5b3ccf29a,1
2ce16ec39d38db03aa459650568dc106,10
63db62b5ab943b2797f2a3893c55aecb,1
ea659d2c632110c8a4493b7d2e77eb5a,1
c91f1afccd9997ebc479635f4fad584b,1
d0fd36f13023975f3b1ef0952faa718a,1
ff50cd01b970591955eb846251698086,8
f742aeca53c10d56f116fc82b79d4cb4,7
243446c8847612b92655b89be1a2d37c,8
3bc402394955f1d1c0a0b1ef9f463df5,7
b3571d152a2545ad9a60065249f050f7,7
7d696b2ec12140ac8a74036cb2c21ffa,5
d60364e6f2b65a0d3ca3b703f6867d0d,11
c26b7c8b87237cb041e1b7b74a3a37f4,1
848ce24f1a952190a1f96a5b996910f6,1
a5e6f88743213504514bcc105a25d7b3,1
524800a23d409b518832170745cbc43f,44
c2e0ef48cc822efef56dd8d99165bb32,6
141dfb303715574220b7ade2cbc91f6e,1
e9a98669dbfce49976adcd3262c2d8e7,1
878221618e6223e86216991561cc0b2d,1
2c61511b5340222ab536d31de8f3fd04,1
e3d00fc12324bcab72ec41711219430c,10
3cee2ff9d74fa4b94d3a36c19362ca82,1
a12027c764d306896532db356a5e51d2,1
2df64688ec1eb889b2bcc8ca45748943,1
1f3caeadf5fb4c74dacecc6fb3747358,1
27633a1562e2bbb64c4c5f423674e6c3,1
07299409f83e63ac2556fa05e6c163df,1
039b71e8e9865f73558de2c3ab6d57d5,1
80747d0cefa687cd0e8919f7f2b7eb31,1
49a93582d9e7e6ce90107af940f5b52e,5
67f09976c7e9bdc11da51b9f9959ba1c,1
21de6b0c1302c28be5ed77e27c7f17a8,5
3c827d2ae66faddaf624d2f92b9cac87,6
582239e8f4b8a6a93c9cc739c7e4c632,2
69e906e9d117157f0b89bfe72d4bec96,2
532e350c88520a9ef1eec1e44b2de1c4,2
791a0ec57572be21f315d9570941a0cf,2
67fe6a52aa241c3445fc05a0ef2750ea,1
207b25514597430442f140471cf252c8,1
f28f63096132b6f9127f4c69f43b4dc9,1
50e15d4809e6c9e89f5c568cad301e14,1
